temperature_en_chiffre,humidity_en_chiffre,temperature_en_chiffre_2days_left,humidity_en_chiffre_2days_left,Wingspan_ft_without_winglets_sharklets,Wingspan_ft_with_winglets_sharklets,Length_ft,Tail_Height_at_OEW_ft,Wheelbase_ft,Cockpit_to_Main_Gear_ft,Main_Gear_Width_ft,STD,Type,Fluid,Water,OAT,OneStep Fluid,TwoStep I Fluid,TwoStep II Fluid,deicing_time_minutes,meteo_numerical,CARRIER_AEG,CARRIER_AHO,CARRIER_AP,CARRIER_ATL,CARRIER_BV,CARRIER_CAR,CARRIER_CCC,CARRIER_DC,CARRIER_EJM,CARRIER_EN,CARRIER_ENT,CARRIER_EUR,CARRIER_EW,CARRIER_EXC,CARRIER_FR,CARRIER_FRD,CARRIER_GA,CARRIER_GAC,CARRIER_GTI,CARRIER_IFM,CARRIER_IG,CARRIER_JDI,CARRIER_KLC,CARRIER_LH,CARRIER_LO,CARRIER_LP,CARRIER_LPR,CARRIER_LS,CARRIER_LX,CARRIER_NJE,CARRIER_OY,CARRIER_PL,CARRIER_ROY,CARRIER_SCH,CARRIER_SK,CARRIER_SRN,CARRIER_STR,CARRIER_SWT,CARRIER_TOY,CARRIER_UPS,CARRIER_USA,CARRIER_VJT,CARRIER_W6,CARRIER_WIL,CARRIER_WR,Month,Year
-3.3,79,3.2,45,111.9,117.5,123.3,39.6,41.5,50.2,29.4,1577945400.0,1,0,0,-6.0,7,0,0,7.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
-3.3,79,3.2,45,111.9,117.5,123.3,39.6,41.5,50.2,29.4,1577945400.0,1,0,0,-6.0,7,0,0,7.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
-3.3,79,3.2,45,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1577947500.0,1,283,96,-6.0,7,0,0,10.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-3.3,76,4.6,37,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1577949000.0,1,223,78,-6.0,7,0,0,51.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-3.9,74,6.8,30,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1577953500.0,1,357,125,-6.0,7,0,0,9.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-3.5,79,2.3,88,81.5,0.0,118.8,24.1,56.8,56.8,16.4,1578030600.0,1,170,56,-5.0,7,0,0,20.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-3.0,81,2.3,89,111.9,117.5,123.3,39.6,41.5,50.2,29.4,1578031800.0,1,168,58,-6.0,7,0,0,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
-3.0,81,2.3,89,111.9,117.5,123.3,39.6,41.5,50.2,29.4,1578032700.0,1,207,71,-6.0,7,0,0,5.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
-3.0,81,2.3,89,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1578033900.0,1,216,72,-6.0,7,0,0,5.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-2.7,83,2.3,89,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1578034800.0,1,233,79,-6.0,7,0,0,30.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-2.7,83,2.3,89,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1578037800.0,1,223,77,-4.0,7,0,0,5.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
3.9,87,-1.6,59,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1578161100.0,1,155,152,4.0,5,0,0,12.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
0.3,83,-3.0,81,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1578206400.0,1,172,172,0.0,5,0,0,10.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-0.1,84,-2.7,83,111.9,117.5,123.3,39.6,41.5,50.2,29.4,1578208200.0,1,158,154,0.0,5,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
-0.3,85,-2.4,85,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1578212700.0,1,146,145,0.0,5,0,0,6.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-2.0,88,0.4,83,93.3,0.0,107.8,27.4,45.8,45.8,31.4,1578375600.0,1,123,124,-3.0,5,0,0,18.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
